# schema=open1_replay_annotations.v2
# WP304 E0 独立历史回放标注(v2):expected 由本独立工具派生,非 extractor 自产;
# annotation_tool_commit/annotation_data_commit 由验证器经 git log 派生(避免自引用死循环,B4-13)。
run_id	run_dir	artifact_claimed_run_commit	artifact_commit_source	profile	control_mode	config_sha256	tlog_sha256	summary_sha256	mission_summary_sha256	manifest_sha256	bin_exists	summary_status	controller_airborne_seen	target_statustext	target_count	provable	not_provable	annotation_method	annotation_source
20260715T204428.255001623Z	/home/ai4s/projects/world-model/artifacts/sim/hover/20260715T204428.255001623Z	eab0cc6f0d5460cbd2cf20fe9b83857549a1e6b5	EXTERNAL_REGISTRY:governance/WP304_OPEN-1因果时间线与实验设计_2026-07-17.md### 1. 样本分层	slam-direct-no-odom-prior	hover_slam-direct-no-odom-prior	6a70ecf2fd00dda8c1e035edec849d74f4cfbe3cef0eef2a5f2cdd4e13946f74	d71732f8e3b47265c9fe0c5c6b3d24531f041ba971c3185fe769a0149aaf8cfc	1dee10298cfc443f08e50e015d43dead3d634ff15ad2ab1fc9bc2b00bd6bd944	5f7d96db99c2025d1fd0235196c16f1bf509f01561a5fef056c380e80e7aa374	4238dcaf0d7dbf42af80a36eaa56c6fd6de4957c39bc097567bc6fc8334726b9	true	TASK_STATUS_OK	true	Arm: Accels inconsistent	20	controller-side airborne_seen; BIN existence; CRC-valid target STATUSTEXT count; summary status	FCU 是否离地; arm 请求/拒绝时序; no-BIN 直接死因; 两类是否同源	独立最小MAVLink-v2解码(位反射CRC-16/MCRF4XX,非open1_tlog)+直接读原始JSON/TOML+sha256全量	open1_annotate.py(独立工具,不import open1_tlog/open1_extract)
20260715T205113.276955543Z	/home/ai4s/projects/world-model/artifacts/sim/hover/20260715T205113.276955543Z	eab0cc6f0d5460cbd2cf20fe9b83857549a1e6b5	EXTERNAL_REGISTRY:governance/WP304_OPEN-1因果时间线与实验设计_2026-07-17.md### 1. 样本分层	slam-direct-no-odom-prior	hover_slam-direct-no-odom-prior	f12e590e3c8c721d80e877bb5c99025e292bf55dcba496defe6a1bfdabef33fa	94cb025a909f1d1bd5d493aff9f18e376f7bef005d98ba4ecf46fd715c57afd6	932ecbde38f571c36286dba6074c2d81676ac761b11c73615d0ca5649c9470c3	fa26f147d52275aa29cf91138a7c5c4f27f00707c3df4ca0968afbda2580e39b	9d936ab957c7011036f34e20505f71fe32d6cbbe094a7ccac6556bcb1d1975ee	false	TASK_STATUS_BLOCKED	false	Arm: Accels inconsistent	0	controller-side airborne_seen; BIN existence; CRC-valid target STATUSTEXT count; summary status	FCU 是否离地; arm 请求/拒绝时序; no-BIN 直接死因; 两类是否同源	独立最小MAVLink-v2解码(位反射CRC-16/MCRF4XX,非open1_tlog)+直接读原始JSON/TOML+sha256全量	open1_annotate.py(独立工具,不import open1_tlog/open1_extract)
20260715T210149.482334513Z	/home/ai4s/projects/world-model/artifacts/sim/hover/20260715T210149.482334513Z	eab0cc6f0d5460cbd2cf20fe9b83857549a1e6b5	EXTERNAL_REGISTRY:governance/WP304_OPEN-1因果时间线与实验设计_2026-07-17.md### 1. 样本分层	slam-direct-no-odom-prior	hover_slam-direct-no-odom-prior	3dbef5c554010aa72792b49d65ac2ac80c83c235012947759f2dd58c2a4baeaf	9453b31c55be2717cde8c8b2d4e38b89dba08ad454cc070b8bf0c418e29ce324	6d42ea5354acdf6407949665025a21aa18c86b910cb6441620485dfcb79e1f0d	a579eb3427a067bde5255cd0686cee23992af12659969205c9bcb421ad04e668	37b20ae18c5a5c180ba044946ec50ea6d5e0da3fef83c1bf876b0a0ada02b283	false	TASK_STATUS_BLOCKED	false	Arm: Accels inconsistent	0	controller-side airborne_seen; BIN existence; CRC-valid target STATUSTEXT count; summary status	FCU 是否离地; arm 请求/拒绝时序; no-BIN 直接死因; 两类是否同源	独立最小MAVLink-v2解码(位反射CRC-16/MCRF4XX,非open1_tlog)+直接读原始JSON/TOML+sha256全量	open1_annotate.py(独立工具,不import open1_tlog/open1_extract)
20260715T210849.272170331Z	/home/ai4s/projects/world-model/artifacts/sim/hover/20260715T210849.272170331Z	eab0cc6f0d5460cbd2cf20fe9b83857549a1e6b5	EXTERNAL_REGISTRY:governance/WP304_OPEN-1因果时间线与实验设计_2026-07-17.md### 1. 样本分层	slam-direct-no-odom-prior	hover_slam-direct-no-odom-prior	34f5bb3a145830ed71b991916c6c5ea174387da96ec8f0559c8dba0f3815ae97	dd5e6758cede6ff307f9abe5893a835009e9c81d5d88d3ccc08b65dda83d7232	d7038579140bf19586e52e508532cda31f2b1e6712983c5feb080c9c3c70e764	a0011c5adafe3c7f1a9c41704a5ac5cbb455850072e2f73102a850880a61c44e	71dd129e289d209e9f70003190b097ba8a303cfe7793d8d776e4b5e6656b9f12	true	TASK_STATUS_BLOCKED	false	Arm: Accels inconsistent	20	controller-side airborne_seen; BIN existence; CRC-valid target STATUSTEXT count; summary status	FCU 是否离地; arm 请求/拒绝时序; no-BIN 直接死因; 两类是否同源	独立最小MAVLink-v2解码(位反射CRC-16/MCRF4XX,非open1_tlog)+直接读原始JSON/TOML+sha256全量	open1_annotate.py(独立工具,不import open1_tlog/open1_extract)
20260715T211927.641462689Z	/home/ai4s/projects/world-model/artifacts/sim/hover/20260715T211927.641462689Z	eab0cc6f0d5460cbd2cf20fe9b83857549a1e6b5	EXTERNAL_REGISTRY:governance/WP304_OPEN-1因果时间线与实验设计_2026-07-17.md### 1. 样本分层	slam-direct-no-odom-prior	hover_slam-direct-no-odom-prior	0a0bfd9a83be71d27ba3ebb448280fbc1df9fe1a698ae372884c140508ff96ab	5c68e985b2b434b3e75913bc85c46dfc580d4d693b37ed95a41f87bef6b842ca	d4ae3917995e519d6440fed119d2c990ec38b40622d2e0ab21e4a75bf4f2f091	63347ce6c907fa28965fe5dfa82c349549a06a2e2af5ab19fb61eeadb32c19b2	988cfe890c0e2237d6962b9dc4881670edf8d8bda8ef9bf675ed38e278426acb	true	TASK_STATUS_OK	true	Arm: Accels inconsistent	20	controller-side airborne_seen; BIN existence; CRC-valid target STATUSTEXT count; summary status	FCU 是否离地; arm 请求/拒绝时序; no-BIN 直接死因; 两类是否同源	独立最小MAVLink-v2解码(位反射CRC-16/MCRF4XX,非open1_tlog)+直接读原始JSON/TOML+sha256全量	open1_annotate.py(独立工具,不import open1_tlog/open1_extract)
